,구,합계,1인가구수,2인가구수,3인가구수,4인가구수,5인가구수,6인가구수,7인이상가구수
2,종로구,64422,28424,16471,10570,6943,1585,357,72
3,중구,56260,25247,15189,8952,5344,1194,263,71
4,용산구,98483,41437,26780,16985,10360,2355,471,95
5,성동구,122873,46548,32508,24157,15862,3035,622,141
6,광진구,156463,69391,37683,26349,18431,3689,744,176
7,동대문구,155912,68169,38115,26712,17856,4044,818,198
8,중랑구,170544,64334,47691,31924,20884,4620,870,221
9,성북구,183972,67222,47596,36118,26139,5576,1087,234
10,강북구,131275,51134,36946,24052,15044,3274,663,162
11,도봉구,128975,39744,38780,27669,18188,3729,678,187
12,노원구,205078,63022,56950,44854,33252,5915,890,195
13,은평구,196206,65769,57001,39579,26524,5947,1140,246
14,서대문구,136043,54288,34828,25195,17289,3606,674,163
15,마포구,165603,70030,41900,29105,19723,3936,742,167
16,양천구,169344,45502,45568,39711,31529,5873,974,187
17,강서구,254540,100695,68068,45887,31982,6472,1201,235
18,구로구,169228,58977,47365,33747,23172,4817,930,220
19,금천구,110689,50528,27996,17821,11294,2441,470,139
20,영등포구,172104,73962,43178,30051,20019,3933,793,168
21,동작구,172696,71782,42854,31214,21587,4221,847,191
22,관악구,260075,145433,56949,31901,20357,4390,830,215
23,서초구,154471,46745,39831,33995,26948,5504,1163,285
24,강남구,212499,73579,54372,43080,33367,6523,1321,257
25,송파구,263448,82473,70851,56674,43037,8535,1555,323
26,강동구,187615,59752,50939,40177,29676,5798,1050,223
